artifact_id,original_classification,corrected_classification,csbs_correct,false_positive,missed_csbs,caption_quality_score,caption_accuracy,blip_used
meta:aWdfbWVkaWFfM3B2OjE3ODQyMjkzMzE4NTQ0NTkz,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDM4OTY3NDY3MjI0NDAy,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MTEwMjMyODA4NDY3ODE1,0,100,No,Yes,No,7,Partially Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTQyOTc2MzQ1MDQyMDgz,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3ODk5ODc1OTkwMjE3ODcz,0,0,Yes,No,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTAyMjQ2NzMxMjQ2NjYz,0,0,Yes,No,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MTE4NzkyMzY5NDkwNDk0,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTEyMDE1MzQzMTY4MjY0,0,100,No,Yes,No,7,Partially Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDM1NzAxMTAwNDQyNTY2,0,0,Yes,No,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDcwOTI3MjYyMDc4NDM1,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTU1ODk4ODI5OTc5NjM1,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3ODc2NzU4ODY5MzYzMDkw,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDMzODkzMzU0MzQ0NDA0,0,0,Yes,No,No,7,Mostly Accurate,Yes
meta:122168153618530844,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:669387876160516,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:1333803378107931,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE4MDc3NDc3ODc4NzY2NDkx,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTQyOTQ4MzQ2MDE1Mzg2,0,100,No,Yes,No,7,Mostly Accurate,Yes
meta:aWdfbWVkaWFfM3B2OjE3OTQyOTQ4MzQ2MDE1Mzg2,0,100,No,Yes,No,7,Mostly Accurate,Yes
